Alabama,Abbeville,21
Alabama,Adamsville,45
Alabama,Adger,66
Alabama,Alabaster,656
Alabama,Albertville,52
Alabama,Alexander City,634
Alabama,Alexandria,165
Alabama,Aliceville,38
Alabama,Andalusia,10
Alabama,Anniston,346
Alabama,Arab,33
Alabama,Ardmore,436
Alabama,Ariton,6
Alabama,Arlington,4
Alabama,Ashville,201
Alabama,Athens,528
Alabama,Atmore,28
Alabama,Attalla,124
Alabama,Auburn,496
Alabama,Autaugaville,1
Alabama,Axis,67
Alabama,Baileyton,3
Alabama,Bay Minette,13
Alabama,Bayou La Batre,252
Alabama,Beatrice,1
Alabama,Bessemer,1433
Alabama,Billingsley,4
Alabama,Birmingham,6488
Alabama,Blountsville,2
Alabama,Boaz,281
Alabama,Boligee,11
Alabama,Brantley,2
Alabama,Bremen,1
Alabama,Brewton,34
Alabama,Bridgeport,5
Alabama,Brierfield,67
Alabama,Brighton,7
Alabama,Brookwood,20
Alabama,Brundidge,7
Alabama,Bucks,2
Alabama,Calera,426
Alabama,Camp Hill,8
Alabama,Carbon Hill,4
Alabama,Castleberry,5
Alabama,Center Point,43
Alabama,Centre,12
Alabama,Centreville,2
Alabama,Chancellor,2
Alabama,Chatom,9
Alabama,Chelsea,12
Alabama,Cherokee,1
Alabama,Chickasaw,2
Alabama,Chunchula,135
Alabama,Citronelle,11
Alabama,Clanton,219
Alabama,Cleveland,2
Alabama,Coalburg,3
Alabama,Coaling,2
Alabama,Coden,574
Alabama,Coffeeville,1
Alabama,Collinsville,11
Alabama,Columbiana,455
Alabama,Cordova,3
Alabama,Cottondale,819
Alabama,Crane Hill,368
Alabama,Creola,7
Alabama,Crossville,11
Alabama,Cuba,20
Alabama,Cullman,1042
Alabama,Cusseta,7
Alabama,Dadeville,388
Alabama,Daleville,33
Alabama,Daphne,180
Alabama,Dauphin Island,3
Alabama,Dawson,2
Alabama,Deatsville,9
Alabama,Decatur,637
Alabama,Deer Park,4
Alabama,Demopolis,4
Alabama,Dixiana,2
Alabama,Dora,1
Alabama,Dothan,168
Alabama,Double Springs,1
Alabama,Dozier,1
Alabama,Duncanville,3
Alabama,Dutton,3
Alabama,Eastaboga,2
Alabama,Eclectic,4
Alabama,Elba,27
Alabama,Elberta,504
Alabama,Eldridge,2
Alabama,Elkmont,697
Alabama,Enterprise,845
Alabama,Epes,1
Alabama,Equality,1
Alabama,Ethelsville,3
Alabama,Eufaula,984
Alabama,Eutaw,11
Alabama,Eva,10
Alabama,Evergreen,14
Alabama,Fairfield,10
Alabama,Fairhope,62
Alabama,Falkville,7
Alabama,Faunsdale,10
Alabama,Florence,99
Alabama,Foley,24
Alabama,Forest Home,1
Alabama,Forestdale,6
Alabama,Fort Deposit,26
Alabama,Fort Payne,8
Alabama,Fort Rucker,13
Alabama,Fosters,9
Alabama,Frisco City,10
Alabama,Fultondale,88
Alabama,Gadsden,3928
Alabama,Gardendale,72
Alabama,Gaylesville,1
Alabama,Geneva,7
Alabama,Georgiana,30
Alabama,Geraldine,370
Alabama,Good Hope,95
Alabama,Goodwater,953
Alabama,Gordo,2
Alabama,Grady,30
Alabama,Grand Bay,158
Alabama,Grant,25
Alabama,Graysville,579
Alabama,Greenville,626
Alabama,Grove Hill,1
Alabama,Guin,3
Alabama,Gulf Shores,63
Alabama,Guntersville,256
Alabama,Gurley,6
Alabama,Hamilton,8
Alabama,Hanceville,83
Alabama,Harpersville,1
Alabama,Hartford,2
Alabama,Hartselle,108
Alabama,Harvest,31
Alabama,Hayden,618
Alabama,Hayneville,2
Alabama,Hazel Green,1792
Alabama,Headland,3
Alabama,Heflin,2
Alabama,Helena,14
Alabama,Henagar,1
Alabama,Highland Home,2
Alabama,Hillsboro,210
Alabama,Hokes Bluff,107
Alabama,Holly Pond,2
Alabama,Hollywood,130
Alabama,Homewood,52
Alabama,Hoover,197
Alabama,Hope Hull,1158
Alabama,Horton,267
Alabama,Hueytown,485
Alabama,Huntsville,5482
Alabama,Ider,1
Alabama,Indian Springs Village,2
Alabama,Irondale,603
Alabama,Irvington,2091
Alabama,Jackson,10
Alabama,Jacksons' Gap,2
Alabama,Jacksonville,10
Alabama,Jasper,639
Alabama,Jemison,932
Alabama,Jones,2
Alabama,Joppa,4
Alabama,Kellyton,18
Alabama,Knoxville,94
Alabama,La Fayette,53
Alabama,Lanett,22
Alabama,Lapine,2
Alabama,Leeds,896
Alabama,Leesburg,7
Alabama,Leighton,3
Alabama,Leroy,8
Alabama,Letohatchee,460
Alabama,Level Plains,4
Alabama,Lillian,550
Alabama,Lincoln,6
Alabama,Livingston,4
Alabama,Louisville,71
Alabama,Lowndesboro,8
Alabama,Loxley,320
Alabama,Madison,1522
Alabama,Maplesville,6
Alabama,Marbury,4
Alabama,Marion,6
Alabama,Marion Junction,11
Alabama,Mathews,5
Alabama,McCalla,982
Alabama,McIntosh,20
Alabama,McKenzie,1
Alabama,Meadowbrook,2
Alabama,Mentone,1
Alabama,Meridianville,68
Alabama,Midland City,16
Alabama,Midway,2
Alabama,Millbrook,148
Alabama,Mobile,8177
Alabama,Monroeville,1052
Alabama,Montevallo,162
Alabama,Montgomery,2857
Alabama,Moody,7
Alabama,Mooresville,2
Alabama,Morris,1
Alabama,Moulton,604
Alabama,Moundville,2
Alabama,Mount Hope,2
Alabama,Mount Vernon,27
Alabama,Mountain Brook,3
Alabama,Muscadine,4
Alabama,Muscle Shoals,314
Alabama,New Brockton,6
Alabama,New Hope,4
Alabama,New Market,158
Alabama,New Site,6
Alabama,Newton,12
Alabama,Newville,84
Alabama,Northport,5268
Alabama,Notasulga,1
Alabama,Odenville,19
